Country,Year,Area,Month,Record Type,Reliability,Source Year,Value,Value Footnotes
Belgium,2017,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,109666.00,1
Belgium,2017,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2019,11831.00,1
Belgium,2017,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2019,10518.00,1
Belgium,2017,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2019,9420.00,1
Belgium,2017,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2019,8461.00,1
Belgium,2017,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2019,9102.00,1
Belgium,2017,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2019,8224.00,1
Belgium,2017,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2019,8230.00,1
Belgium,2017,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2019,8243.00,1
Belgium,2017,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2019,8113.00,1
Belgium,2017,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2019,8770.00,1
Belgium,2017,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2019,8640.00,1
Belgium,2017,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2019,10114.00,1
Belgium,2016,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,108097.00,1
Belgium,2016,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2018,9916.00,1
Belgium,2016,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2018,9000.00,1
Belgium,2016,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2018,10174.00,1
Belgium,2016,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2018,8984.00,1
Belgium,2016,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2018,8856.00,1
Belgium,2016,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2018,8009.00,1
Belgium,2016,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2018,8589.00,1
Belgium,2016,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2018,8487.00,1
Belgium,2016,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2018,7986.00,1
Belgium,2016,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2018,8872.00,1
Belgium,2016,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2018,9088.00,1
Belgium,2016,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2018,10136.00,1
Belgium,2015,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,110541.00,1
Belgium,2015,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2017,11273.00,1
Belgium,2015,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2017,11055.00,1
Belgium,2015,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2017,10477.00,1
Belgium,2015,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2017,9150.00,1
Belgium,2015,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2017,8746.00,1
Belgium,2015,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2017,8309.00,1
Belgium,2015,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2017,8458.00,1
Belgium,2015,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2017,8286.00,1
Belgium,2015,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2017,8051.00,1
Belgium,2015,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2017,9075.00,1
Belgium,2015,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2017,8445.00,1
Belgium,2015,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2017,9216.00,1
Belgium,2014,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,104755.00,1
Belgium,2014,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2016,9578.00,1
Belgium,2014,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2016,8808.00,1
Belgium,2014,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2016,9348.00,1
Belgium,2014,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2016,8627.00,1
Belgium,2014,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2016,8637.00,1
Belgium,2014,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2016,8067.00,1
Belgium,2014,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2016,8652.00,1
Belgium,2014,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2016,7978.00,1
Belgium,2014,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2016,7957.00,1
