Macrotrends Data Download

Italy Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,10.003
1951-12-31,9.969,-0.34
1952-12-31,9.935,-0.34
1953-12-31,9.901,-0.34
1954-12-31,9.867,-0.34
1955-12-31,9.833,-0.34
1956-12-31,9.799,-0.35
1957-12-31,9.765,-0.35
1958-12-31,9.731,-0.35
1959-12-31,9.76,0.3
1960-12-31,9.789,0.3
1961-12-31,9.819,0.31
1962-12-31,9.848,0.3
1963-12-31,9.877,0.29
1964-12-31,9.892,0.15
1965-12-31,9.907,0.15
1966-12-31,9.922,0.15
1967-12-31,9.937,0.15
1968-12-31,9.952,0.15
1969-12-31,9.933,-0.19
1970-12-31,9.913,-0.2
1971-12-31,9.894,-0.19
1972-12-31,9.874,-0.2
1973-12-31,9.855,-0.19
1974-12-31,9.858,0.03
1975-12-31,9.862,0.04
1976-12-31,9.865,0.03
1977-12-31,9.869,0.04
1978-12-31,9.872,0.03
1979-12-31,9.855,-0.17
1980-12-31,9.837,-0.18
1981-12-31,9.82,-0.17
1982-12-31,9.802,-0.18
1983-12-31,9.785,-0.17
1984-12-31,9.745,-0.41
1985-12-31,9.705,-0.41
1986-12-31,9.665,-0.41
1987-12-31,9.625,-0.41
1988-12-31,9.585,-0.42
1989-12-31,9.617,0.33
1990-12-31,9.649,0.33
1991-12-31,9.68,0.32
1992-12-31,9.712,0.33
1993-12-31,9.744,0.33
1994-12-31,9.777,0.34
1995-12-31,9.811,0.35
1996-12-31,9.844,0.34
1997-12-31,9.878,0.35
1998-12-31,9.911,0.33
1999-12-31,9.887,-0.24
2000-12-31,9.863,-0.24
2001-12-31,9.839,-0.24
2002-12-31,9.815,-0.24
2003-12-31,9.791,-0.24
2004-12-31,9.781,-0.1
2005-12-31,9.77,-0.11
2006-12-31,9.76,-0.1
2007-12-31,9.749,-0.11
2008-12-31,9.739,-0.1
2009-12-31,9.815,0.78
2010-12-31,9.892,0.78
2011-12-31,9.968,0.77
2012-12-31,10.045,0.77
2013-12-31,10.121,0.76
2014-12-31,10.192,0.7
2015-12-31,10.262,0.69
2016-12-31,10.333,0.69
2017-12-31,10.403,0.68
2018-12-31,10.474,0.68
2019-12-31,10.566,0.88
2020-12-31,10.658,0.87
2021-12-31,10.749,0.85
2022-12-31,10.841,0.86
2023-12-31,10.933,0.85
2024-12-31,11.026,0.85
2025-12-31,11.119,0.84
2026-12-31,11.211,0.83
2027-12-31,11.304,0.83
2028-12-31,11.397,0.82
2029-12-31,11.498,0.89
2030-12-31,11.598,0.87
2031-12-31,11.699,0.87
2032-12-31,11.799,0.85
2033-12-31,11.9,0.86
2034-12-31,12.01,0.92
2035-12-31,12.12,0.92
2036-12-31,12.231,0.92
2037-12-31,12.341,0.9
2038-12-31,12.451,0.89
2039-12-31,12.592,1.13
2040-12-31,12.733,1.12
2041-12-31,12.875,1.12
2042-12-31,13.016,1.1
2043-12-31,13.157,1.08
2044-12-31,13.333,1.34
2045-12-31,13.509,1.32
2046-12-31,13.684,1.3
2047-12-31,13.86,1.29
2048-12-31,14.036,1.27
2049-12-31,14.235,1.42
2050-12-31,14.434,1.4
2051-12-31,14.633,1.38
2052-12-31,14.832,1.36
2053-12-31,15.031,1.34
2054-12-31,15.199,1.12
2055-12-31,15.368,1.11
2056-12-31,15.536,1.09
2057-12-31,15.705,1.09
2058-12-31,15.873,1.07
2059-12-31,15.954,0.51
2060-12-31,16.035,0.51
2061-12-31,16.115,0.5
2062-12-31,16.196,0.5
2063-12-31,16.277,0.5
2064-12-31,16.224,-0.33
2065-12-31,16.17,-0.33
2066-12-31,16.117,-0.33
2067-12-31,16.063,-0.34
2068-12-31,16.01,-0.33
2069-12-31,15.877,-0.83
2070-12-31,15.745,-0.83
2071-12-31,15.612,-0.84
2072-12-31,15.48,-0.85
2073-12-31,15.347,-0.86
2074-12-31,15.206,-0.92
2075-12-31,15.066,-0.92
2076-12-31,14.925,-0.94
2077-12-31,14.785,-0.94
2078-12-31,14.644,-0.95
2079-12-31,14.553,-0.62
2080-12-31,14.463,-0.62
2081-12-31,14.372,-0.63
2082-12-31,14.282,-0.63
2083-12-31,14.191,-0.64
2084-12-31,14.147,-0.31
2085-12-31,14.103,-0.31
2086-12-31,14.058,-0.32
2087-12-31,14.014,-0.31
2088-12-31,13.97,-0.31
2089-12-31,13.959,-0.08
2090-12-31,13.948,-0.08
2091-12-31,13.936,-0.09
2092-12-31,13.925,-0.08
2093-12-31,13.914,-0.08
2094-12-31,13.907,-0.05
2095-12-31,13.901,-0.04
2096-12-31,13.894,-0.05
2097-12-31,13.888,-0.04
2098-12-31,13.881,-0.05
2099-12-31,13.874,-0.05
2100-12-31,13.868,-0.04
